Filename|PatentID|PatentDate|OrgName|Title|Department|NClaims|ApplicationRef|Abstract|Description
ipg050111.xml||20050111|Reinhart Boerner Van Deuren S.E.|Food blend product|2911|1|design|A new and distinct variety of Liriope muscari characterized as to novelty by increased vigor, increased raceme length, inflorescence with increased duration, intensity, height and uniformity. The blooming period for the flower is earlier and longer than other varieties.|"FIG. 1 is a perspective view of a food blend product showing my new design;
FIG. 2 is a perspective view of the first of two pieces comprising the food blend product, shown separately for clarity of disclosure;
FIG. 3 is a right side elevational view thereof, the left side being a mirror image;
FIG. 4 is a top plan view thereof, the bottom plan view being a mirror image;
FIG. 5 is a front elevational view thereof, the rear elevational view being a mirror image;
FIG. 6 is a perspective view of the second of two pieces comprising the food blend product, shown separately for clarity of disclosure;
FIG. 7 is a right side elevational view thereof, the left side elevational view being a mirror image;
FIG. 8 is a top plan view thereof, the bottom plan view being a mirror image; and,
FIG. 9 is a front elevational view thereof, the rear elevational view being a mirror image."
ipg060124.xml||20060124|Brinks Hofer Gilson & Lione|Sliced rectangular block of food material having two oblique cuts|2911|1|design|A new and distinct cultivar of New Guinea Impatiens plant named ‘Visinfred’, characterized by its rounded and upright plant form; freely branching growth habit; dark green-colored foliage; freely flowering habit with flowers held above and beyond the foliage; and large red-colored flowers.|"FIG. 1 is a side perspective view of a sliced rectangular block of food material having two oblique cuts, showing our new design;
FIG. 2 is a front end view thereof, which is identical to a back end view thereof;
FIG. 3 is a left side view thereof;
FIG. 4 is a right side view thereof;
FIG. 5 is a top side view thereof; and,
FIG. 6 is bottom side view thereof."
ipg070109.xml||20070109|Bell, Boyd & Lloyd LLC|Twisted pet chew product|2914|1|design|A new and distinct cultivar of Begonia plant named ‘Libra’ characterized by its upright, outwardly spreading and mounded plant habit; vigorous growth habit; does not become dormant during the winter; large rugose leaves with “corkscrew” bases; silvery green-colored leaves with dark green-colored spots and splotches and dark burgundy-colored centers and margins; and burgundy-colored leaf petioles.|"FIG. 1 is an end view of a twisted pet chew product in accordance with my design; and,
FIG. 2 is an enlarged perspective view of FIG. 1."
ipg080115.xml||20080115|Greenberg Traurig LLP|Undergarment with a pocket|2916|1|design|A newly discovered, and asexually reproduced genotype of Zoysiagrass with a distinct set of foliar, inflorescent and agronomic traits.|"FIG. 1 is a front view of an undergarment with a pocket showing my new design;
FIG. 2 is a left side view thereof;
FIG. 3 is a right side view thereof;
FIG. 4 is a rear view thereof;
FIG. 5 is a front view of a second embodiment of an undergarment with a pocket;
FIG. 6 is a right side view thereof;
FIG. 7 is a left side view thereof; and,
FIG. 8 is a rear view thereof.
The broken lines in FIGS. 1–8, showing portions of the human form, illustrate the portions of the design, which form no part of the claim."
ipg090120.xml||20090120|Barnes & Thornburg LLP|Cover for a lollipop|2911|1|design|A new and distinct variety of Calibrachoa plant named ‘Filindura Pink’, characterized by its upright to spreading growth habit; freely branching habit; freely flowering habit; relatively large red purple-colored flowers; and good garden performance.|"FIG. 1 is a perspective view of a cover for a lollipop showing my new design;
FIG. 2 is a front elevation view thereof;
FIG. 3 is a rear elevation view thereof;
FIG. 4 is a right side elevation view thereof;
FIG. 5 is a left side elevation view thereof;
FIG. 6 is a top plan view thereof; and,
FIG. 7 is a bottom plan view of the cover for a lollipop of FIG. 1.
The broken lines showing of the stick and wrapper in FIGS. 1–5 are included for the purpose of illustrating unclaimed portions and form no part of the claimed design."
ipg100119.xml||20100119|Diehl Servilla LLC|Glove|2915|1|design|This invention relates to a new and distinct variety of strawberry plant named ‘TAMIR’. This new strawberry plant named ‘TAMIR’ is primarily adapted to the climate and growing conditions of the growing conditions of the Sharon coastal plain, at 32° latitude, located in Israel, and is primarily characterized by low amounts of runners (stolons) production in the propagating nursery; no chilling requirement for flower induction; very early fruit production from the first week of November in Israel; moderate plant size with open, flattened habit; fruiting trusses position level with foliage; large fruit size, orange-red in color; high fruit firmness even in high temperatures; juicy fruit texture with strong flavor; very nice appearance with yellowish achenes over bright red fruit skin; and high field tolerance to powdery mildew.|"FIG. 1 is a rear view of a first embodiment of a glove showing our new design;
FIG. 2 is a right side view thereof;
FIG. 3 is a left side view thereof;
FIG. 4 is a top side view thereof; and
FIG. 5 is a bottom side view thereof.
FIG. 6 is a rear view of a second embodiment of our design shown in FIG. 1;
FIG. 7 is a right side view thereof;
FIG. 8 is a left side view thereof;
FIG. 9 is a top side view thereof; and,
FIG. 10 is a bottom side view thereof.
The broken lines shown in the drawings are directed to features not claimed."
ipg110726.xml||20110726|Armstrong Teasdale LLP|Confectionary|2911|1|design|This invention relates to a new and distinct cultivar of strawberry plant named ‘DrisStrawFourteen’. The new cultivar is primarily characterized by a medium density plant with medium vigor, medium-sized fruit having a large hollow center, and a partially everbearing habit, is disclosed.|"FIG. 1 is a perspective view of a confectionary in accordance with the present invention.
FIG. 2 is a top view of the confectionary shown in FIG. 1.
FIG. 3 is a right side view of the confectionary shown in FIG. 1, with the left side view being identical thereto.
FIG. 4 is a front view of the confectionary shown in FIG. 1, with the rear view being identical thereto; and,
FIG. 5 is a bottom view of the confectionary shown in FIG. 1.
The broken lines are included for the purpose of illustrating a filling that forms no part of the claimed design."
ipg120619.xml||20120619|Rabin & Berdo, P.C.|Chocolate|2911|1|design|A new and distinct Floribunda rose plant is provided which forms attractive blossoms having a salmon-orange coloration. The blossoms tend to be substantially uniform in appearance and blossoming is displayed on a substantially continuous basis throughout the season. The plant exhibits strong vegetation, a bushy growth habit, and dark green foliage with a semi-glossy aspect. No particular disease concern has been encountered during observations to date. The attractive dark green foliage contrasts nicely with the intense ocher blossom coloration. The new variety is well suited for growing as attractive ornamentation in parks and gardens.|"FIG. 1 is a perspective view of a chocolate showing my new design;
FIG. 2 is a top plan view thereof;
FIG. 3 is a front elevation view thereof, the rear elevation view thereof being the same image;
FIG. 4 is a bottom plan view thereof;
FIG. 5 is a right side view thereof, the left side view thereof being the same image;
FIG. 6 is a sectional view thereof taken on line 6-6 of FIG. 3;
FIG. 7 is a perspective view of a second embodiment of a chocolate showing my new design;
FIG. 8 is a top plan view of the second embodiment;
FIG. 9 is a front elevation view of the second embodiment, the rear elevation view thereof being the same image;
FIG. 10 is a bottom plan view of the second embodiment;
FIG. 11 is a left side view of the second embodiment;
FIG. 12 is a right side view of the second embodiment;
FIG. 13 is a sectional view of the second embodiment taken on line 13-13 of FIG. 9;
FIG. 14 is an enlarged view of the portion indicated by arrows 14 in FIG. 8; and,
FIG. 15 is an enlarged view of the portion indicated by arrows 15 in FIG. 13."
ipg130122.xml||20130122|Quarles & Brady LLP|Padded sports garment|2916|1|design|A pecan tree distinguished by the following unique combination of characteristics: Precociousness, moderately early nut maturity, large nut size, a nut with a high percentage kernel, exceptional kernel quality, moderate resistance to scab and good resistance to powdery mildew and to black pecan aphid.|"FIG. 1 is front elevational view of a padded sports garment according to my new design that has been folded flat; and,
FIG. 2 is a rear elevational view thereof."
ipg140114.xml||20140114|QuickPatents|Hooded garment|2916|1|design|A new cultivar of Euonymus florida, ‘Lankveld03’, characterized by its foliage that has new growth that is white in color and gradually becoming dark green with age, its an upright plant habit, and its dense basal branching.|"FIG. 1 is a front perspective view of a hooded garment showing our new design;
FIG. 2 is a front elevational view of FIG. 1;
FIG. 3 is a rear elevational view of FIG. 1;
FIG. 4 is a right-side elevational view of FIG. 1, the left-side elevational view being a mirror image thereof;
FIG. 5 is a top plan view of FIG. 1; and,
FIG. 6 is a bottom plan view of FIG. 1.
The broken lines showing a person in FIG. 1 of the hooded garment are for the purpose of illustrating environment, and form no part of the claimed design."
